"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C5, C8, C11, C12","6","10uF","Capacitor_SMD:CP_Elec_5x5.4",""
"2","C2, C6, C9, C10, C13, C14","6","1uF","Capacitor_SMD:CP_Elec_5x5.4",""
"3","C4","1","0.01uF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"4","C7","1","100nF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"5","D1","1","1N4002","Diode_SMD:D_PowerDI-123",""
"6","J1","1","IN_OUT_AC","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",""
"7","J2","1","LEDs_conx","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal",""
"8","P2","1","USB_C_Plug_USB2.0","",""
"9","PS1","1","IRM-60-12","Converter_ACDC:Converter_ACDC_MeanWell_IRM-60-xx_THT",""
"10","PS2","1","IRM-60-24","Converter_ACDC:Converter_ACDC_MeanWell_IRM-60-xx_THT",""
"11","Q1","1","BT136-500","Package_TO_SOT_THT:TO-220-3_Vertical",""
"12","Q2, Q3, Q4","3","2N7000","Package_TO_SOT_SMD:SOT-89-3_Handsoldering",""
"13","R1","1","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","R2","1","33","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","R3, R6","2","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"16","R4, R5","2","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"17","SW1","1","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"18","U1","1","MOC3021M","",""
"19","U2","1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32",""
"20","U3","1","LM1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"21","U4","1","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
"22","U5","1","PCA9685BS","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",""
